ModelWeb Browser Results

nrlmsise model listing
Required input parameters
Year= 2000, Month=  1, Day=  1, Hour= 1.50,
Time_type = Universal
Coordinate_type = Geographic
Latitude=   55.00, Longitude=   45.00, Height=   100.00
Prof. parameters: Start=     0.00 Stop=  1000.00 Step=     1.00

Optional input parameters:

Sunspot number(Rz12) =not specified
Ionospheric index(IG12) =not specified
Upper limit for Electron content = not specified
F peak model =  
Ne Topside =  
foF2 Storm model =  
Bottomside Thickness =  
F1 occurrence probability =  
D-Region Ne =  
Topside Te =  
Ion Composition =  

Selected output parameters:
1  Height, km
2  Mass_density, g/cm-3
  583.0 1.092E-16  891.4   891
  584.0 1.076E-16  891.4   891
  585.0 1.061E-16  891.4   891
  586.0 1.045E-16  891.4   891
  587.0 1.030E-16  891.4   891
  588.0 1.015E-16  891.4   891
  589.0 1.001E-16  891.4   891
  590.0 9.865E-17  891.4   891
  591.0 9.724E-17  891.4   891
  592.0 9.586E-17  891.4   891
  593.0 9.450E-17  891.4   891
  594.0 9.316E-17  891.4   891
  595.0 9.184E-17  891.4   891
  596.0 9.055E-17  891.4   891
  597.0 8.927E-17  891.4   891
  598.0 8.802E-17  891.4   891
  599.0 8.679E-17  891.4   891
  600.0 8.558E-17  891.4   891
  601.0 8.439E-17  891.4   891
  602.0 8.322E-17  891.4   891
  603.0 8.207E-17  891.4   891
  604.0 8.094E-17  891.4   891
  605.0 7.983E-17  891.4   891
  606.0 7.874E-17  891.4   891
  607.0 7.766E-17  891.4   891
  608.0 7.661E-17  891.4   891
  609.0 7.557E-17  891.4   891
  610.0 7.454E-17  891.4   891
  611.0 7.354E-17  891.4   891
  612.0 7.255E-17  891.4   891
  613.0 7.158E-17  891.4   891
  614.0 7.062E-17  891.4   891
  615.0 6.968E-17  891.4   891
  616.0 6.875E-17  891.4   891
  617.0 6.784E-17  891.4   891
  618.0 6.695E-17  891.4   891
  619.0 6.607E-17  891.4   891
  620.0 6.520E-17  891.4   891
  621.0 6.435E-17  891.4   891
  622.0 6.351E-17  891.4   891
  623.0 6.269E-17  891.4   891
  624.0 6.188E-17  891.4   891
  625.0 6.108E-17  891.4   891
  626.0 6.029E-17  891.4   891
  627.0 5.952E-17  891.4   891
  628.0 5.876E-17  891.4   891
  629.0 5.801E-17  891.4   891
  630.0 5.728E-17  891.4   891
  631.0 5.655E-17  891.4   891
  632.0 5.584E-17  891.4   891
  633.0 5.514E-17  891.4   891
  634.0 5.445E-17  891.4   891
